node;user;party
7,80294E+17;CLMTInsoumise;Not partisan
7,88089E+17;EnMarche93;#Macron2017
7,39846E+17;upr_alex;#Asselineau2017
800180016;SolidairesNord;#JLM2017
7,83232E+17;niniricou;Not partisan
15720074;EdouardRichard;#Fillon2017
273524713;piervial;#Fillon2017
1546814226;guntrach;Not partisan
498965191;DEREYMONDmichel;Not partisan
405699460;XMaximilien;#JLM2017
285226634;SebastienDenaja;#Hamon2017
6898372;Sarkofrance;#JLM2017
412290375;freeman791;#JLM2017
74500327;mathildemaulat;#Hamon2017
26232866;ralifromparis;Not partisan
556354749;alain_p1;Not partisan
361388805;Crohnfighter;Not partisan
7,936E+17;Nefehrer_18eme;#Hamon2017
8,34855E+17;Karim78691559;#JLM2017
854662140;opiamPG;Not partisan
308426989;DDomnonos;Not partisan
4910604011;JLM2017Lille;#JLM2017
29303096;Julietteprados;#JLM2017
308466675;interpretelsf;Not partisan
560346582;Thomas_Mng;#NDA2017
465576689;Chabanne_Nat;#Hamon2017
2972169952;bernard1rieux;#JLM2017
2273692894;izahardy;#Hamon2017
2998021930;JramenM;Not partisan
2464135300;DanielPilotte;#Fillon2017
8,262E+17;Hamon2017_Paris;#Hamon2017
492916699;LudovicM27;#JLM2017
471168015;LaurencePache;#JLM2017
1067019937;RiviNico;#Hamon2017
1910561816;AZAMJean;Not partisan
144612003;AnnaTchangodei;#Hamon2017
7,70961E+17;Le29AvecHamon;#Hamon2017
72647439;AntoineMokrane;Not partisan
173981071;Pimprenelle62;#JLM2017
96793727;Latto_Ska;#Hamon2017
2692032372;DUDH48;#JLM2017
257488786;Maskloff;#JLM2017
277795027;lolog60;#JLM2017
195748199;Patricenicolas;#JLM2017
298917216;ClementLeblond;#JLM2017
3070719076;SabryZebra;#JLM2017
7,85825E+17;incivilitemons1;#Asselineau2017
379818587;laurentgantner;#Hamon2017
2174357906;YdahoYdaho;#JLM2017
545924100;Sol121Nadia;Not partisan
129297085;Thaliane_K;#JLM2017
2188044039;LSEGNIS;Not partisan
606353326;Lyonnais699;#JLM2017
557601522;PhilWoods33;Not partisan
3568208115;_C_D_A;Not partisan
8,21016E+17;karine_redinger;#JLM2017
7,0372E+17;sappelgroot;#JLM2017
414886583;JC_Mignon77;#Fillon2017
31077839;ChrisMichelFr;Not partisan
1299738390;LMaillart;#Macron2017
272054279;_BrySi_;#JLM2017
558985098;Landais40180;Not partisan
1369321644;DavAndrieu;Not partisan
513672086;quesbroy;#JLM2017
1528317966;PaulineFroppier;#Fillon2017
360708091;tom_OM13;#JLM2017
8,2544E+17;enmarcheparis7;Not partisan
2326739006;cabributarn;#JLM2017
1424334475;libuska_c;Not partisan
8,24336E+17;freepictete;#JLM2017
2855825801;reatsent;#JLM2017
3302594272;MARCLANDES40;Not partisan
455990159;KADOVE1;#JLM2017
464502436;tetunicois;Not partisan
4193582925;JohnGlobule;#JLM2017
2148859528;yvespave;#Hamon2017
508905046;InstructionPub;#JLM2017
8,46078E+17;isimouns;#JLM2017
2288521934;_FrancoisM;#Hamon2017
3039197321;_Libertaire_;#JLM2017
4905817683;manential;#JLM2017
8,34451E+17;avenir2017;Not partisan
8,34354E+17;TousResistants;#JLM2017
8,40643E+17;partheno5p;Not partisan
2820276653;franfranh44;Not partisan
2207537059;LaylaAbdlk;#JLM2017
174386927;Clement_Laforge;Not partisan
2450065812;RedUtopie;#Hamon2017
134505011;JRGParis;#Hamon2017
469000474;Kaiim29;#Hamon2017
897646340;abrahamslaurent;#JLM2017
1475074182;maryryckbosch;Not partisan
8,29467E+17;Fillonvictoire;#Fillon2017
110711315;jeunesadmd;Not partisan
2719781930;LouBalinou;#JLM2017
1369445124;bvtpas;Not partisan
407153036;GLookathat;#Fillon2017
8,0481E+17;Puteaux_Fillon;Not partisan
2228775505;Lirdet;Not partisan
490215456;menalahy;Not partisan
1360439748;Mr_REESE_John;#Fillon2017
